Rank,Symbol,Market Cap,Price,Date
22,FRK,"$4,335.78",$0.1668,2013-06-23
19,MEM,"$13,338.13",$0.00109,2013-06-23
18,GLC,"$18,141.18",$0.001188,2013-06-23
17,MNC,"$24,316.38",$0.02153,2013-06-23
16,BTB,"$24,643.61",$6.56,2013-06-23
15,WDC,"$67,830.58",$0.009766,2013-06-23
20,BTE,"$11,370.84",$0.01238,2013-06-23
7,TRC,"$395,910.40",$0.1304,2013-06-30
10,DGC,"$93,810.47",$0.02619,2013-06-30
9,FRC,"$274,804.66",$0.01256,2013-06-30
8,DVC,"$350,826.66",$0.00007343,2013-06-30
6,FTC,"$694,353.94",$0.07826,2013-06-30
11,YAC,"$92,500.45",$0.02338,2013-06-30
4,PPC,"$2,367,684.20",$0.1217,2013-06-30
3,NMC,"$2,995,222.23",$0.5014,2013-06-30
2,LTC,"$56,721,517.99",$2.98,2013-06-30
1,BTC,"$1,096,957,926.58",$96.61,2013-06-30
5,NVC,"$931,437.38",$3.09,2013-06-30
13,WDC,"$55,160.81",$0.007942,2013-06-30
12,BQC,"$76,284.42",$0.003836,2013-06-30
24,AMC,"$2,106.27",$0.001933,2013-06-30
15,CNC,"$45,596.16",$0.008695,2013-06-30
16,MNC,"$42,677.67",$0.0372,2013-06-30
17,BTB,"$23,567.27",$5.91,2013-06-30
18,LKY,"$12,095.08",$0.002618,2013-06-30
19,MEM,"$10,668.84",$0.0007604,2013-06-30
20,GLC,"$6,496.10",$0.0003879,2013-06-30
21,BTE,"$6,390.56",$0.00695,2013-06-30
22,FRK,"$2,891.64",$0.09715,2013-06-30
23,NBL,"$2,709.81",$0.003584,2013-06-30
25,ELC,"$1,750.54",$0.08024,2013-06-30
14,IXC,"$51,205.23",$0.003671,2013-06-30
26,JKC,$105.71,$0.00001912,2013-06-30
11,DGC,"$90,011.67",$0.02155,2013-07-07
12,CNC,"$70,529.30",$0.01342,2013-07-07
13,BQC,"$65,506.03",$0.003228,2013-07-07
17,MNC,"$34,857.44",$0.02992,2013-07-07
15,IXC,"$46,861.08",$0.003335,2013-07-07
16,MEC,"$38,199.20",$0.00314,2013-07-07
10,YAC,"$108,880.76",$0.02572,2013-07-07
14,WDC,"$56,083.13",$0.005711,2013-07-07
9,FRC,"$223,994.42",$0.01007,2013-07-07
2,LTC,"$51,099,940.90",$2.66,2013-07-07
7,TRC,"$519,200.27",$0.167,2013-07-07
6,FTC,"$711,870.60",$0.07531,2013-07-07
5,NVC,"$867,500.25",$2.84,2013-07-07
4,PPC,"$2,582,887.38",$0.132,2013-07-07
3,NMC,"$2,598,102.11",$0.4369,2013-07-07
18,PXC,"$34,584.63",$0.01186,2013-07-07
1,BTC,"$848,838,935.56",$74.56,2013-07-07
8,DVC,"$276,948.24",$0.00005741,2013-07-07
19,BTG,"$25,588.54",$1.46,2013-07-07
23,FST,"$11,082.55",$0.001215,2013-07-07
21,LKY,"$12,434.92",$0.00239,2013-07-07
40,JKC,$255.21,$0.00004383,2013-07-07
39,EZC,$592.16,$0.0001377,2013-07-07
38,DBL,$883.97,$0.002948,2013-07-07
37,AMC,"$1,184.81",$0.001074,2013-07-07
36,NRB,"$1,191.72",$0.002982,2013-07-07
35,FRK,"$1,266.89",$0.0379,2013-07-07
34,NBL,"$1,360.21",$0.00179,2013-07-07
20,BTB,"$15,340.53",$3.73,2013-07-07
32,HYC,"$1,715.29",$0.003355,2013-07-07
31,SBC,"$2,291.85",$0.0008202,2013-07-07
33,ELC,"$1,487.58",$0.06703,2013-07-07
